CITIES;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
ABILENE, TX;62;64;70;72;70;78;80;78;71;72;67;62
ALBANY, NY;46;52;54;54;56;60;64;61;57;52;37;39
ALBUQUERQUE, NM;72;72;73;77;79;83;76;75;79;79;76;71
ALLENTOWN, PA;43;48;53;46;53;62;57;61;58;57;49;45
ALPENA, MI;36;45;53;52;59;63;65;59;51;42;28;28
AMARILLO, TX;69;68;72;74;71;78;79;77;73;75;72;67
ANCHORAGE, AK;34;42;50;50;50;46;43;39;38;36;32;27
APALACHICOLA, FL;58;61;65;74;77;71;64;64;66;74;67;57
ASHEVILLE, NC;55;59;61;66;61;62;60;54;56;61;58;55
ATLANTA, GA;49;54;58;66;68;67;63;64;62;66;58;50
ATLANTIC CITY AP, NJ;50;53;55;56;56;60;61;65;61;59;51;47
AUSTIN/BERGSTROM, TX;49;51;55;54;56;69;75;74;66;63;56;49
AUSTIN/CITY, TX;49;51;55;54;56;69;75;74;66;64;54;49
AVOCA, PA;41;47;50;53;57;61;62;61;55;52;36;34
BALTIMORE, MD;51;55;56;56;56;62;64;62;60;58;51;49
BILLINGS, MT;47;53;61;60;61;64;76;75;68;61;46;45
BINGHAMTON, NY;37;42;46;50;56;62;64;61;55;49;32;29
BIRMINGHAM AP,AL;42;50;54;63;66;65;59;63;61;66;55;46
BIRMINGHAM C.O.,AL;48;48;62;61;64;63;60;62;57;63;49;52
BISMARCK, ND;53;53;58;58;61;64;73;72;65;58;43;47
BLUE HILL, MA;46;50;48;49;52;55;57;58;56;55;47;46
BOISE, ID;40;50;62;68;70;75;87;85;82;69;43;38
BOSTON, MA;53;56;57;56;58;63;65;65;63;60;50;52
BROWNSVILLE, TX;41;48;53;58;63;73;80;76;68;65;51;42
BUFFALO, NY;31;38;46;51;56;65;67;64;57;50;29;27
BURLINGTON, VT;41;48;51;49;56;59;64;60;54;47;31;33
CAIRO,IL;45;50;56;62;65;72;74;75;69;67;51;44
CAPE HATTERAS, NC;48;52;60;67;65;65;65;65;64;60;56;48
CHARLESTON AP,SC;56;59;66;72;68;66;67;64;61;63;59;56
CHARLOTTE, NC;54;58;61;68;67;67;67;65;64;65;58;55
CHATTANOOGA, TN;43;49;53;61;65;65;62;63;64;63;53;44
CHEYENNE, WY;64;67;67;63;61;67;69;68;70;69;61;60
CHICAGO,IL;44;49;51;50;58;67;66;62;59;55;38;43
CHUUK, PC;50;55;56;50;47;44;47;48;44;42;44;43
CLEVELAND, OH;30;37;45;52;58;65;67;63;60;52;31;25
COLUMBIA, MO;50;49;50;55;57;64;67;64;60;59;47;45
COLUMBUS, GA;36;42;44;51;56;60;60;60;61;56;37;31
CONCORD, NH;52;55;53;53;55;58;62;60;56;53;42;47
CONCORDIA, KS;64;63;63;65;67;76;78;76;70;68;59;57
CORPUS CHRISTI, TX;44;49;54;56;59;72;80;76;68;67;54;43
DALLAS-FORT WORTH, TX;52;54;58;61;57;67;75;73;67;63;57;52
DAYTON, OH;40;44;48;52;58;66;66;67;65;59;40;36
DENVER, CO;71;69;69;67;64;70;71;71;74;72;64;67
DES MOINES, IA;51;54;57;56;61;68;72;70;66;62;49;46
DETROIT, MI;40;46;52;54;61;66;68;67;61;51;35;31
DODGE CITY, KS;67;65;65;68;67;74;79;78;74;73;67;65
DULUTH, MN;48;53;55;56;57;58;65;61;52;46;35;39
EL PASO, TX;78;82;86;89;90;90;82;81;83;84;83;77
ELKINS, WV;29;32;39;46;44;48;44;44;45;46;37;28
ELY, NV;68;68;71;70;72;80;80;81;82;75;67;67
EUREKA, CA.;43;46;52;57;58;59;55;51;55;50;44;41
EVANSVILLE, IN;42;48;55;60;64;71;73;73;69;65;48;42
FARGO, ND;50;56;58;60;61;62;71;69;60;54;40;43
FLAGSTAFF, AZ;77;73;76;82;88;86;75;76;81;79;75;73
FORT SMITH, AR;50;55;56;60;62;69;73;72;66;65;54;50
FORT WAYNE, IN;46;51;55;60;68;74;75;74;68;62;42;38
FRESNO, CA;47;65;77;85;90;95;97;96;94;88;66;46
GALVESTON, TX;48;51;56;61;67;75;73;71;68;71;59;48
GRAND JUNCTION, CO;61;65;65;70;73;81;79;77;79;74;63;61
GRAND RAPIDS, MI;28;39;46;51;56;62;64;61;54;44;27;23
GREAT FALLS, MT;49;56;66;62;62;65;79;76;67;61;46;44
GREEN BAY, WI;49;52;53;55;61;65;66;63;56;47;38;40
GREENSBORO-WNSTN-SALM-HGHPT,NC;51;56;60;63;63;64;62;61;62;64;57;53
GREENVILLE-SPARTANBURG AP, SC;54;57;63;66;62;62;60;61;62;66;58;54
GUAM, PC;47;52;57;57;56;52;40;36;37;37;40;38
HARRISBURG, PA;49;54;58;59;60;65;68;67;62;58;47;44
HARTFORD, CT;53;56;57;55;57;60;62;62;59;57;45;47
HELENA, MT;46;55;61;59;60;64;78;74;67;60;44;42
HILO, HI;46;46;42;37;37;44;41;42;43;39;33;37
HONOLULU,HI;65;68;72;70;72;74;76;77;77;70;65;63
HOUSTON, TX;45;50;54;58;62;68;70;68;66;64;52;51
HURON, SD;57;59;59;61;65;70;76;74;69;63;50;49
INDIANAPOLIS, IN;40;49;50;54;60;65;66;68;65;61;41;38
JACKSON, MS;49;54;60;66;63;70;66;67;65;70;57;49
JACKSONVILLE, FL;58;62;68;73;70;66;65;64;58;60;60;54
JOHNSTON ISLAND, PC;70;74;74;70;74;78;79;76;73;65;59;62
JUNEAU, AK;32;32;37;39;39;34;31;32;26;19;23;20
KAHULUI, HI;64;64;64;63;68;72;71;71;73;68;62;63
KANSAS CITY, MO;58;55;58;62;61;66;72;67;66;60;49;49
KEY WEST, FL;74;77;82;84;82;76;77;76;72;71;71;70
KNOXVILLE, TN;40;47;53;63;64;65;64;63;61;61;49;40
KOROR, PC;54;54;63;61;54;44;45;44;52;47;50;49
LAKE CHARLES, LA;62;66;74;71;72;78;83;81;78;75;67;59
LANDER, WY;65;68;70;66;64;72;75;75;72;67;58;61
