CITIES;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
ABERDEEN, SD;11;18,7;30,7;45,4;57,9;66,8;72,2;70,5;59,8;46,8;29,3;16
ABILENE, TX;43,5;48,6;56,4;64,6;72,8;79,8;83,5;82,6;75,5;66;53,7;45,4
AKRON, OH;25,2;28,3;37,7;48,1;58,8;67,5;71,8;70,3;63;51,6;41,1;30,7
ALAMOSA, CO;14,7;22,5;32,7;40,8;50,4;59,4;64,1;62,1;54,5;42,8;28,4;17,1
ALBANY, NY;22,2;25;35;46,6;58,1;66,3;71,1;69;60,6;49,3;39,2;28
ALBUQUERQUE, NM;35,7;41,4;48,1;55,6;64,7;74,8;78,5;76,1;69,1;57,3;44,4;36,1
ALLENTOWN, PA;27,1;29,9;38,8;49;59,6;68,5;73,3;71,2;63,4;52;42;32
ALPENA, MI;17,8;19;28;40,3;52,2;61,3;66,7;64,5;56,3;45,6;34,6;24
AMARILLO, TX;35,8;40,6;47,9;56,2;65,2;74,3;78,2;76,3;69,1;58,2;45,1;37
ANCHORAGE, AK;15,8;18,7;25,9;36,3;46,9;54,7;58,4;56,4;48,2;34,1;21,8;17,5
ANNETTE, AK;35,1;37,1;39,5;43,8;49,4;54,3;58,2;58,6;53,8;46,5;39,7;36,4
APALACHICOLA, FL;52,7;55,3;60,7;66,8;74,1;80;81,9;81,7;79,1;70,2;62;55,2
ASHEVILLE, NC;35,8;39;46,3;54,1;62;69,2;73;71,8;65,7;55,2;46,4;39
ASTORIA, OR;42,4;44,2;46;48,5;52,7;56,7;60,1;60,8;58,5;52,6;46,6;42,8
ATHENS, GA;42,2;46;53,5;60,9;69,1;76,3;79,8;78,4;72,6;61,8;52,7;44,8
ATLANTA, GA;42,7;46,7;54,3;61,6;69,8;76,8;80;78,9;73,3;62,8;53,4;45,4
ATLANTIC CITY AP, NJ;32,1;34,2;41,8;50,6;60,5;69,7;75,3;73,5;66,3;55,1;45,9;36,8
ATLANTIC CITY C.O.,NJ;35,2;36,9;43,3;51,4;60,5;69,4;75,2;74,8;68,9;58,5;49;40,2
AUGUSTA,GA;44,8;48,4;55,9;62,4;70,5;77,5;80,8;79,3;73,8;63,1;54,4;46,9
AUSTIN/BERGSTROM, TX;48,1;52,6;59,9;67,1;74,7;80,1;82,8;82,1;77,5;68,6;57,8;49,8
AUSTIN/CITY, TX;50,2;54,6;61,7;68,3;75,1;81;84,2;84,5;79,5;70,6;59,7;52,1
AVOCA, PA;26,3;28,9;37,9;48,7;59,6;67,5;72,1;70,3;62,5;51,5;41,5;31,4
BAKERSFIELD, CA;47,8;53,3;57,3;62,7;70,3;77,7;83,1;81,9;76,7;67,2;54,8;47,2
BALTIMORE, MD;32,3;35,5;43,7;53,2;62,9;71,8;76,5;74,5;67,4;55,4;45,5;36,7
BARROW, AK;-13,7;-15,9;-13,7;-0,5;20,1;35;40,4;38,7;31,2;14,6;-0,9;-10,6
BATON ROUGE, LA;50,1;53,5;60,3;66,6;74;79,7;81,7;81,4;77,5;68,1;59;52,4
BECKLEY, WV;30,4;33,9;42,1;51,5;59,9;67;70,7;69,3;63,1;52,8;43,4;34,8
BETHEL, AK;6,6;7,6;14,5;25,9;41,3;51,4;56;53,6;45,4;30;17,4;9,4
BETTLES,AK;-11,2;-7,9;4,2;22,4;44,3;57,8;60,2;53,5;41;18,7;-0,8;-7,4
BIG DELTA,AK;-2,6;2,3;14,2;32,1;47,8;57,5;60,8;55,5;44,4;24,1;6,4;0,1
BILLINGS, MT;24;29,8;37;46,1;55,7;65,2;72;70,9;59,5;48,1;34,1;26,1
BINGHAMTON, NY;21,7;23,8;32,7;44,1;55,9;63,9;68,7;66,6;58,8;48,1;37,6;27,1
BIRMINGHAM AP,AL;42,6;46,8;54,5;61,3;69,3;76,4;80,2;79,6;73,8;62,9;53,1;45,6
BISHOP, CA;38;42,4;47,7;54,1;62,5;71,1;76,8;74,8;67,3;56,6;44,8;38
BISMARCK, ND;10,2;18,1;29,7;43,3;56;64,7;70,4;69;57,7;45,2;28;15,2
BLUE HILL, MA;26;28,3;36,3;46,3;57;65,7;71,6;69,9;62,1;51,6;41,8;31,2
BOISE, ID;30,2;36,7;43,8;50,6;58,6;67,2;74,7;73,9;64,2;52,8;39,9;30,6
BOSTON, MA;29,3;31,5;38,9;48,3;58,5;68;73,9;72,3;64,7;54,1;44,9;34,8
BRIDGEPORT, CT;29,9;31,9;39,5;48,9;59;68;74;73,1;65,7;54,7;45,1;35,1
BRISTOL-JHNSN CTY-KNGSPRT,TN;34,2;38;46,5;54,6;63;70,7;74,2;72,8;66,6;55;45,5;37,3
BROWNSVILLE, TX;59,6;62,7;68,8;73,8;79,3;82,7;83,9;84;81;75;67,7;61,1
