,anzsic06,Area,year,geo_count,ec_count
0,A,A100100,2021,90,200
1,A,A100200,2021,141,210
2,A,A100300,2021,6,25
3,A,A100400,2021,54,65
4,A,A100500,2021,63,95
5,A,A100600,2021,15,45
6,A,A100700,2021,12,35
7,A,A100800,2021,24,95
8,A,A100900,2021,51,21
9,A,A101000,2021,45,25
10,A,A101100,2021,12,15
11,A,A101200,2021,72,18
12,A,A101300,2021,78,6
13,A,A101400,2021,48,30
14,A,A101500,2021,51,9
15,A,A101600,2021,39,18
16,A,A101700,2021,54,30
17,A,A101800,2021,48,30
18,A,A101900,2021,42,30
19,A,A102000,2021,81,40
20,A,A102100,2021,42,18
21,A,A102200,2021,84,210
22,A,A102300,2021,75,35
23,A,A102400,2021,36,25
24,A,A102500,2021,33,90
25,A,A102600,2021,84,190
26,A,A102700,2021,42,35
27,A,A102800,2021,15,18
28,A,A102900,2021,42,3
29,A,A103000,2021,21,12
30,A,A103100,2021,51,100
31,A,A103200,2021,75,55
32,A,A103300,2021,57,30
33,A,A103400,2021,60,55
34,A,A103500,2021,18,50
35,A,A103600,2021,54,15
36,A,A103700,2021,9,15
37,A,A103800,2021,6,9
38,A,A103900,2021,0,0
39,A,A104000,2021,33,50
40,A,A104100,2021,57,21
41,A,A104200,2021,6,15
42,A,A104300,2021,9,6
43,A,A104400,2021,12,3
44,A,A104500,2021,3,3
45,A,A104600,2021,9,3
46,A,A104700,2021,81,65
47,A,A104800,2021,189,170
48,A,A104900,2021,144,100
49,A,A105100,2021,120,95
50,A,A105200,2021,3,0
51,A,A105300,2021,75,85
52,A,A105400,2021,315,300
53,A,A105500,2021,9,0
54,A,A105600,2021,33,35
55,A,A105700,2021,36,9
56,A,A105800,2021,0,0
57,A,A105900,2021,6,0
58,A,A106000,2021,3,3
59,A,A106100,2021,6,0
60,A,A106200,2021,0,0
61,A,A106300,2021,39,60
62,A,A106500,2021,3,12
63,A,A106600,2021,30,30
64,A,A106700,2021,42,15
65,A,A106800,2021,3,0
66,A,A106900,2021,9,6
67,A,A107000,2021,6,0
68,A,A107100,2021,45,85
69,A,A107200,2021,6,0
70,A,A107300,2021,3,0
71,A,A107400,2021,3,0
72,A,A107500,2021,6,6
73,A,A107600,2021,6,0
74,A,A107700,2021,27,75
75,A,A107800,2021,174,120
76,A,A107900,2021,9,150
77,A,A108000,2021,69,45
78,A,A108100,2021,6,0
79,A,A108200,2021,6,0
80,A,A108300,2021,6,70
81,A,A108500,2021,33,45
82,A,A108600,2021,126,95
83,A,A108700,2021,9,3
84,A,A108800,2021,15,0
85,A,A108900,2021,21,30
86,A,A109000,2021,78,25
87,A,A109100,2021,318,470
88,A,A109200,2021,240,350
89,A,A109300,2021,48,230
90,A,A109400,2021,252,210
91,A,A109500,2021,132,85
92,A,A109600,2021,24,9
93,A,A109700,2021,102,130
94,A,A109800,2021,78,45
95,A,A109900,2021,3,0
96,A,A110100,2021,3,3
97,A,A110200,2021,117,70
98,A,A110400,2021,237,160
99,A,A110500,2021,15,6
100,A,A110700,2021,126,240
101,A,A110800,2021,120,50
102,A,A110900,2021,48,30
