id	Всего сообщений	Сообщений ученика	Сообщений учителя
162881860	14	9	5
163720554	19	10	9
542225346	8	2	6
433941477	15	8	7
178097868	56	33	23
373048470	26	11	15
184185690	17	8	9
304741397	7	3	4
217617079	11	8	3
173674956	21	12	9
379372280	81	35	46
164745920	2	1	1
200456783	20	6	14
97440246	15	6	9
407179642	13	5	8
350176900	21	11	10
331710039	28	17	11
420405185	11	6	5
150522536	32	15	17
507140691	25	14	11
347431252	10	3	7
409439496	4	2	2
508761362	291	69	222
305598179	13	9	4
504520260	59	17	42
336058289	18	10	8
121489488	14	8	6
537854339	44	20	24
74436858	23	10	13
245164135	11	8	3
254629766	15	10	5
155763346	10	6	4
336133315	28	11	17
349929643	10	5	5
395091449	6	5	1
396981112	41	17	24
360847630	11	6	5
227162090	12	7	5
489083609	10	7	3
184043728	7	3	4
158278400	9	5	4
289835980	30	18	12
159374705	10	7	3
395745211	2	1	1
175547969	3	2	1
486004944	21	12	9
238256004	29	15	14
251953575	66	29	37
528712506	27	13	14
297743499	12	7	5
175397027	156	67	89
273269166	17	11	6
132424636	8	6	2
284488014	12	6	6
162357772	6	5	1
163017454	7	6	1
170127725	24	14	10
144108157	6	4	2
181001720	9	5	4
303187613	9	4	5
208356144	9	4	5
184737117	14	8	6
247287243	23	11	12
212038420	15	10	5
439552406	9	6	3
14165678	12	8	4
168438070	27	11	16
191798417	10	7	3
166826425	8	3	5
535557015	42	12	30
171331370	11	7	4
136919512	32	14	18
167613987	18	11	7
171290862	8	4	4
483185605	41	21	20
120747310	20	10	10
235358984	15	9	6
77931245	7	4	3
137836393	8	4	4
321777997	6	3	3
175068111	14	6	8
450600459	10	4	6
154643265	10	7	3
370092497	12	8	4
319912806	32	17	15
299984300	11	5	6
166425705	7	5	2
230163325	3	1	2
162308863	25	15	10
269031326	16	7	9
165521752	10	5	5
92333960	12	7	5
190383371	13	7	6
520754907	8	4	4
88661374	11	6	5
503730038	26	16	10
274172828	11	6	5
