"Id","Type","Zone","LotArea","LotConfig","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtRating","BsmtSF","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualSF","LivAreaSF","FullBath","HalfBath","Bedrooms","Kitchen","KitchenQual","TotRms","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PoolArea","MoSold","YrSold","SaleCondition","SalePrice"
1820,70,"RL",9986,"Corner","1Fam","2Story",7,5,1915,1960,"Gable","TA","TA","BrkTil","TA","Gd","No","ALQ",214,"Y",926,768,0,1762,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd","Unf",3,661,"TA","TA",0,2,2006,"Abnorml",158511
33764,60,"RL",8450,"Inside","1Fam","2Story",7,5,1993,1993,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",679,"Y",829,889,0,1738,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd","RFn",2,556,"TA","TA",0,2,2007,"Normal",253206
51420,50,"RM",6060,"Inside","1Fam","1.5Sto",7,5,1931,1946,"Gable","TA","TA","BrkTil","TA","TA","No","Unf",0,"Y",1058,735,0,1841,2,0,2,2,"TA",8,"Min",2,"TA","Detchd","Unf",2,488,"Fa","TA",0,4,2008,"Abnorml",129501
147252,90,"RL",10400,"Inside","Duplex","1Story",4,5,1966,1966,"Gable","TA","TA","BrkTil",NA,NA,NA,NA,0,"Y",1348,0,0,1281,2,0,2,2,"TA",6,"Typ",0,NA,"Other","Unf",2,506,"TA","TA",0,10,2006,"Normal",78927
157900,20,"RL",13975,"Inside","1Fam","1Story",5,5,1998,1998,"Gable","TA","TA","PConc","TA","TA","No","GLQ",621,"Y",1107,0,0,1120,1,1,3,1,"Gd",6,"Typ",0,NA,"Detchd","Unf",2,565,"TA","TA",0,6,2008,"Normal",162064
189844,45,"RM",7248,"Inside","1Fam","1.5Sto",7,7,1930,1947,"Gable","TA","TA","PConc","TA","TA","No","Unf",0,"Y",1155,0,0,1060,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","Unf",1,280,"TA","TA",0,6,2007,"Normal",173756
211140,120,"RM",4027,"Inside","TwnhsE","1Story",5,7,1974,1974,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",876,"Y",1093,0,0,1038,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd","Unf",2,575,"TA","TA",0,6,2007,"Normal",154698
253732,20,"RL",11258,"Inside","1Fam","1Story",8,5,2007,2007,"Gable","Gd","TA","PConc","Ex","TA","No","GLQ",1217,"Y",1672,0,0,1621,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",3,767,"TA","TA",0,5,2009,"Normal",376833
275028,30,"RM",6570,"Inside","1Fam","1Story",4,6,1927,1945,"Gable","TA","TA","BrkTil","TA","TA","No","Unf",0,"N",528,0,0,510,1,0,1,1,"Fa",4,"Typ",0,NA,"Detchd","Unf",1,236,"Fa","TA",0,5,2007,"Normal",53794
296324,20,"RL",8926,"CulDSac","1Fam","1Story",5,6,1966,1997,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",1171,0,0,1280,1,1,3,1,"Gd",6,"Typ",0,NA,"Attchd","Unf",1,263,"TA","TA",0,6,2007,"Normal",157186
360212,20,"RL",8956,"Inside","1Fam","1Story",5,6,1954,1989,"Hip","TA","TA","CBlock","TA","TA","No","LwQ",1269,"Y",1282,0,0,1250,1,0,3,1,"TA",5,"Typ",1,"TA","Attchd","Fin",2,501,"TA","TA",0,10,2008,"Normal",189942
370860,20,"RL",8080,"Inside","1Fam","1Story",5,7,1953,1999,"Gable","TA","Gd","CBlock","TA","TA","No","GLQ",766,"Y",1081,0,0,1066,1,0,3,1,"Gd",5,"Typ",0,NA,"Detchd","Unf",1,253,"TA","TA",0,1,2010,"Abnorml",103772
381508,90,"RL",6113,"Inside","Duplex","1Story",4,5,1952,1952,"Gable","TA","TA","PConc",NA,NA,NA,NA,0,"N",1199,0,0,1139,2,0,2,2,"Fa",6,"Typ",0,NA,NA,NA,0,0,NA,NA,0,6,2007,"Abnorml",101466
424100,20,"RL",9657,"CulDSac","1Fam","1Story",5,6,1975,1978,"Hip","TA","TA","CBlock","Gd","TA","Av","LwQ",287,"Y",902,0,0,935,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd","Unf",1,302,"TA","TA",0,7,2007,"Normal",159204
434748,20,"RL",7812,"Inside","1Fam","1Story",5,6,1956,1956,"Gable","TA","TA","CBlock","TA","TA","No","ALQ",172,"Y",1201,0,0,1146,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd","RFn",1,300,"TA","TA",0,5,2006,"Normal",130304
445396,120,"RL",7313,"Inside","TwnhsE","1Story",9,5,1997,1997,"Hip","Ex","TA","PConc","Ex","TA","No","GLQ",454,"Y",1827,0,0,1786,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd","RFn",2,587,"TA","TA",0,2,2010,"Normal",362305
