ID;wallsMaterial;floorNumber;floorsTotal;totalArea;kitchenArea;latitude;longitude;price
1886;block;4;5.0;58.0;10.0;55.795793;37.615389;10790000
60888;panel;9;14.0;52.0;9.0;55.99643;37.179329;7550000
20956;monolith;20;20.0;135.0;17.0;55.682991;37.645519;34000000
2973;monolith;4;17.0;36.2;14.7;55.72817;37.738764;7450000
29407;brick;2;5.0;60.0;6.0;55.604092;37.167552;6200000
24056;monolith;16;23.0;45.0;14.0;55.693622;37.469189;9150000
4768;block;4;9.0;45.3;5.3;55.67339200000001;37.573645;8990000
18030;panel;11;17.0;76.3;15.0;55.703048;37.918409;10500000
55287;panel;8;9.0;54.0;8.0;55.70643100000001;37.470976;8900000
33933;monolith;8;10.0;185.0;10.0;55.773975;37.586086;85238009
29632;monolith;20;21.0;70.0;14.0;55.49414;37.552031;6850000
42855;panel;2;9.0;65.0;8.1;55.790868;37.802455;14600000
3795;monolith;5;20.0;35.5;14.0;55.600893000000006;37.724077;7850000
12544;block;8;12.0;38.0;6.4;55.89266800000001;37.665497;7200000
46777;panel;18;22.0;102.0;11.0;55.668767;37.765785;12990000
17035;monolith;17;25.0;45.0;10.0;55.645476;37.707215000000005;7400000
61559;monolith;7;15.0;42.0;11.0;55.567657;37.498644;5850000
28069;monolith;3;5.0;202.0;25.0;55.831999;37.469898;139993920
29535;monolith;7;12.0;65.0;10.0;55.549786;37.312999;6660000
63540;brick;6;9.0;145.0;13.0;55.53157;37.446749;17500000
47678;panel;11;12.0;42.0;6.0;55.597485;37.607179;8000000
10308;panel;5;9.0;38.3;7.8;55.798743;37.50381;9799000
60270;monolith;13;32.0;109.0;15.0;55.77310500000001;37.463628;37500000
28835;panel;7;17.0;40.0;9.0;55.64208299999999;37.327381;6400000
59756;panel;2;17.0;78.0;10.2;55.859074;37.418919;14900000
15361;panel;10;12.0;54.0;9.0;55.713136;37.891657;8000000
19402;monolith;4;24.0;45.0;10.6;55.643404;37.654772;9600000
5892;monolith;5;25.0;70.0;9.0;55.649027;37.343299;13000000
28361;panel;1;14.0;97.0;11.4;55.998484;37.213959;11100000
51449;panel;3;12.0;52.3;8.6;55.64415;37.487892;10800000
11002;brick;11;16.0;58.0;10.1;55.86204;37.51441;9730000
10350;brick;4;5.0;41.0;6.0;55.80526999999999;37.496228;8700000
52602;panel;7;17.0;74.0;10.8;55.67956;37.558948;21000000
