Index,Height(cm),Weight(kg)
1,167.1,51.3
2,181.6,61.9
3,176.3,69.4
4,173.3,64.6
5,172.2,65.5
6,174.5,55.9
7,177.3,64.2
8,177.8,61.9
9,172.5,51.0
10,169.6,54.7
11,168.9,57.8
12,171.8,51.8
13,173.5,57.0
14,170.5,55.5
15,173.4,52.7
16,180.6,63.5
17,168.8,58.7
18,174.4,64.9
19,180.9,62.6
20,170.5,56.3
21,172.3,64.1
22,175.0,65.1
23,161.2,44.4
24,173.8,58.7
25,171.8,64.3
26,170.7,58.8
27,179.9,64.6
28,171.4,59.7
29,169.0,49.1
30,166.2,51.7
31,176.6,46.9
32,167.2,54.8
33,172.3,57.1
34,179.3,61.8
35,182.4,63.6
36,175.8,58.4
37,169.7,64.3
38,171.9,55.0
39,172.2,59.6
40,162.7,48.4
41,174.2,56.4
42,165.6,56.6
43,176.9,63.4
44,172.6,62.3
45,167.6,48.3
46,174.4,58.4
47,169.9,66.1
48,172.0,53.0
49,177.3,65.1
50,175.5,61.2
51,177.6,66.7
52,171.0,57.3
53,178.5,56.9
54,175.5,52.5
55,166.1,56.0
56,178.3,67.1
57,178.8,70.7
58,169.0,58.1
59,168.6,54.1
60,171.5,60.7
61,168.9,58.4
62,175.3,62.4
63,173.5,58.9
64,170.2,58.4
65,179.8,61.4
66,173.3,49.7
67,175.4,64.6
68,172.0,60.2
69,170.7,47.0
70,171.1,56.6
71,165.8,58.7
72,179.9,60.8
73,177.6,63.7
74,163.3,46.6
75,173.3,58.3
76,168.5,54.6
77,173.6,62.9
78,166.3,60.3
79,177.1,52.4
80,172.0,55.6
81,174.3,61.1
82,169.6,55.3
83,177.9,70.5
84,168.3,58.5
85,175.8,58.6
86,175.6,63.3
87,171.1,63.9
88,178.0,59.7
89,178.2,54.9
90,173.3,59.7
91,173.0,61.9
92,178.4,64.2
93,181.6,63.8
94,175.8,50.9
95,178.0,60.5
96,179.2,59.8
97,168.4,54.4
98,161.1,55.8
99,169.6,58.1
100,175.0,52.4
101,164.8,46.3
102,170.4,59.1
103,173.6,60.9
104,166.7,44.7
105,172.1,52.0
106,172.8,56.0
107,171.9,55.8
108,168.4,57.4
109,176.4,58.2
110,162.1,57.7
111,172.0,55.4
112,177.9,57.9
113,178.3,59.7
114,167.5,50.8
115,177.8,55.4
116,174.3,58.3
117,174.8,60.2
118,177.2,61.7
119,166.3,52.6
120,174.8,62.1
121,167.1,54.4
122,170.7,49.4
123,176.3,58.2
124,175.1,61.4
125,172.6,48.5
126,166.7,55.9
127,168.9,49.7
128,172.5,54.1
129,175.0,63.6
130,178.4,60.8
131,173.4,60.1
132,180.9,59.3
133,175.5,52.4
134,163.6,56.2
135,180.6,58.1
136,173.3,61.7
137,167.4,52.9
138,171.3,57.5
139,187.7,68.7
140,177.8,59.2
141,176.6,61.8
142,165.6,51.4
143,172.7,56.8
144,173.6,57.9
145,165.6,48.6
146,173.4,52.8
147,174.2,60.7
148,163.8,51.2
149,174.5,59.3
150,175.0,62.5
151,176.6,56.9
152,171.2,62.8
153,168.8,54.8
154,167.7,63.6
155,184.0,62.0
156,162.9,48.1
157,180.3,72.1
158,171.5,49.3
159,182.9,62.9
160,165.9,52.6
161,170.4,66.4
162,163.6,49.8
163,176.2,63.1
164,173.7,54.4
165,165.9,58.2
166,170.5,57.7
167,173.7,52.3
168,168.4,56.6
169,170.7,57.6
170,167.6,50.5
171,176.4,55.6
172,172.7,56.3
173,172.1,56.5
174,165.8,54.2
175,187.5,63.2
176,169.7,47.5
177,169.9,55.8
178,167.0,53.9
179,167.6,55.1
180,169.1,54.1
181,170.5,61.2
182,167.3,52.7
183,169.6,49.5
184,174.6,56.3
185,168.2,64.0
186,167.5,58.6
187,174.2,58.0
188,169.1,54.9
189,170.1,57.9
190,172.9,46.0
191,178.3,65.8
192,166.4,50.3
193,171.3,60.3
194,171.2,66.4
195,176.9,66.0
196,167.1,54.8
197,167.9,52.5
198,173.3,58.2
199,172.8,57.8
200,181.3,58.0
201,167.0,55.1
202,168.7,51.1
203,177.8,61.2
204,176.5,58.4
205,174.3,56.4
206,173.6,63.5
207,173.7,53.3
208,174.7,65.3
209,177.6,64.0
210,181.8,70.7
211,173.9,60.8
212,169.5,59.0
213,169.4,48.2
214,172.6,50.8
215,175.0,61.8
216,170.9,59.5
217,176.7,59.6
218,171.9,54.2
219,175.4,53.1
220,172.6,62.8
221,167.2,49.7
222,167.1,59.0
223,180.7,62.2
224,172.3,51.6
225,165.3,52.2
226,177.1,57.9
227,177.6,55.3
228,167.9,53.5
229,174.3,57.9
230,175.3,53.5
231,169.7,56.8
232,172.8,64.0
233,177.0,66.0
234,182.4,52.6
235,184.8,61.6
236,170.9,60.3
237,171.2,52.5
238,174.1,51.9
239,173.9,67.6
240,174.0,64.5
241,161.9,60.8
242,172.0,64.4
243,176.5,62.9
244,169.4,61.0
245,165.7,53.1
246,177.5,52.5
247,177.4,61.1
248,166.1,54.7
249,173.5,54.5
250,167.5,38.3
251,178.0,63.0
252,167.8,65.1
253,173.3,55.9
254,165.7,52.4
255,175.7,54.9
256,171.7,54.7
257,170.9,56.3
258,169.8,53.2
259,172.9,58.0
260,169.1,53.0
261,178.2,55.3
262,172.3,56.2
263,169.2,49.4
264,161.8,47.5
265,172.8,60.0
266,170.0,57.7
267,168.3,56.8
268,179.7,60.5
269,179.6,55.5
270,186.1,59.1
271,162.0,53.0
272,172.3,57.1
273,172.2,45.6
274,170.8,53.7
275,169.6,62.2
276,175.3,53.8
277,174.1,56.3
278,164.2,56.7
279,165.5,57.3
280,169.5,55.1
281,170.2,60.5
282,178.5,57.8
283,171.6,56.7
284,168.4,46.6
285,175.0,60.9
286,166.6,45.8
287,172.7,66.2
288,177.6,70.4
289,178.2,62.9
290,169.3,52.7
291,176.3,54.7
292,169.7,51.9
293,172.0,60.5
294,175.6,42.1
295,171.5,59.8
296,167.1,53.7
297,168.3,59.5
298,171.2,59.1
299,165.0,58.6
300,175.9,64.9
301,175.5,62.9
302,176.9,59.4
303,175.5,56.4
304,172.8,61.4
305,174.9,56.3
306,160.5,50.5
307,166.6,58.7
308,175.6,57.9
309,177.3,55.0
310,171.4,53.6
311,175.5,55.9
312,174.1,68.9
313,173.3,52.3
314,170.4,55.5
315,180.9,58.6
316,175.6,62.7
317,166.4,65.3
318,169.1,54.8
319,172.7,51.4
320,184.3,67.7
321,172.7,59.3
322,169.2,55.5
323,170.9,60.7
324,167.5,61.2
325,169.0,62.5
326,172.9,51.1
327,167.2,55.0
328,175.9,52.1
329,164.3,50.1
330,175.8,57.2
331,170.6,53.8
332,172.3,54.1
333,176.0,68.4
334,172.5,54.9
335,170.4,53.7
336,177.8,64.8
337,177.9,66.1
338,180.0,57.8
339,167.8,52.6
340,165.7,47.4
341,174.6,62.8
342,176.6,66.0
343,178.6,56.4
