index	MarketID	MarketSize	LocationID	AgeOfStore	week	SalesInThousands
0	1	Medium	1	4	1	33.73
1	1	Medium	1	4	2	35.67
2	1	Medium	1	4	3	29.03
3	1	Medium	1	4	4	39.25
4	1	Medium	2	5	1	27.81
5	1	Medium	2	5	2	34.67
6	1	Medium	2	5	3	27.98
7	1	Medium	2	5	4	27.72
8	1	Medium	3	12	1	44.54
9	1	Medium	3	12	2	37.94
10	1	Medium	3	12	3	45.49
11	1	Medium	3	12	4	34.75
12	1	Medium	4	1	1	39.28
13	1	Medium	4	1	2	39.8
14	1	Medium	4	1	3	24.77
15	1	Medium	4	1	4	30.98
16	1	Medium	5	10	1	30.37
17	1	Medium	5	10	2	24.82
18	1	Medium	5	10	3	37.47
19	1	Medium	5	10	4	23.35
20	1	Medium	6	10	1	32.9
21	1	Medium	6	10	2	22.18
22	1	Medium	6	10	3	42.98
23	1	Medium	6	10	4	26.68
24	1	Medium	7	15	1	42.92
25	1	Medium	7	15	2	42.16
26	1	Medium	7	15	3	51.72
27	1	Medium	7	15	4	36.17
28	1	Medium	8	10	1	30.08
29	1	Medium	8	10	2	28.62
30	1	Medium	8	10	3	25.4
31	1	Medium	8	10	4	27.26
32	1	Medium	9	6	1	37.41
33	1	Medium	9	6	2	38.64
34	1	Medium	9	6	3	40.9
35	1	Medium	9	6	4	41.11
36	1	Medium	10	5	1	34.27
37	1	Medium	10	5	2	29.3
38	1	Medium	10	5	3	23.93
39	1	Medium	10	5	4	35.16
40	1	Medium	11	5	1	33.42
41	1	Medium	11	5	2	37.93
42	1	Medium	11	5	3	33.85
43	1	Medium	11	5	4	40.25
44	1	Medium	12	12	1	35.85
45	1	Medium	12	12	2	36.24
46	1	Medium	12	12	3	41.73
47	1	Medium	12	12	4	37.32
48	1	Medium	13	12	1	50.48
49	1	Medium	13	12	2	36.88
50	1	Medium	13	12	3	35.68
51	1	Medium	13	12	4	46.45
52	2	Small	101	22	1	67.48
53	2	Small	101	22	2	65.57
54	2	Small	101	22	3	68.42
55	2	Small	101	22	4	60.93
56	2	Small	102	8	1	61.59
57	2	Small	102	8	2	63.64
58	2	Small	102	8	3	54.68
59	2	Small	102	8	4	61.24
60	2	Small	103	22	1	62.93
61	2	Small	103	22	2	58.77
62	2	Small	103	22	3	70.6
63	2	Small	103	22	4	65.06
64	2	Small	104	19	1	59.76
65	2	Small	104	19	2	66.11
66	2	Small	104	19	3	62.16
67	2	Small	104	19	4	64.04
68	2	Small	105	8	1	59.65
69	2	Small	105	8	2	57.04
70	2	Small	105	8	3	59.73
71	2	Small	105	8	4	56.72
72	2	Small	106	5	1	58.55
73	2	Small	106	5	2	62.19
74	2	Small	106	5	3	53.14
75	2	Small	106	5	4	62.27
76	3	Large	201	4	1	86.14
77	3	Large	201	4	2	82.56
78	3	Large	201	4	3	79.36
79	3	Large	201	4	4	77.17
80	3	Large	202	8	1	88.73
81	3	Large	202	8	2	85.21
82	3	Large	202	8	3	81.55
83	3	Large	202	8	4	94.17
84	3	Large	203	12	1	89.7
85	3	Large	203	12	2	78.43
86	3	Large	203	12	3	84.05
87	3	Large	203	12	4	81.18
88	3	Large	204	1	1	87.43
89	3	Large	204	1	2	81.79
90	3	Large	204	1	3	88.12
91	3	Large	204	1	4	75.29
92	3	Large	205	19	1	83.02
93	3	Large	205	19	2	90.3
94	3	Large	205	19	3	85.18
95	3	Large	205	19	4	89.77
96	3	Large	206	11	1	82.64
97	3	Large	206	11	2	82.89
98	3	Large	206	11	3	82.13
99	3	Large	206	11	4	88.91
100	3	Large	207	1	1	87.7
101	3	Large	207	1	2	81.16
102	3	Large	207	1	3	81.58
103	3	Large	207	1	4	94.21
104	3	Large	208	1	1	96.48
105	3	Large	208	1	2	84.13
106	3	Large	208	1	3	91.98
107	3	Large	208	1	4	81.72
108	3	Large	209	1	1	93.71
109	3	Large	209	1	2	96.01
110	3	Large	209	1	3	93.03
