index	Promotion
118	2
45	1
12	2
184	1
124	2
402	3
72	3
407	1
16	2
484	3
22	3
498	2
338	3
38	2
515	2
534	3
194	2
527	1
64	3
129	1
437	3
375	2
490	2
187	1
104	3
25	1
186	1
177	1
270	2
478	3
292	1
216	2
48	1
275	1
88	2
523	2
200	3
358	1
456	3
404	1
518	1
371	1
370	1
139	3
400	3
519	1
485	3
442	1
29	2
142	3
253	3
117	2
530	2
533	3
243	3
217	2
226	3
158	2
468	2
34	1
140	3
298	2
259	3
517	1
383	3
357	1
86	3
46	1
316	3
125	2
374	2
354	1
4	2
472	1
474	1
309	1
528	2
167	2
368	1
160	1
49	1
269	2
408	2
102	3
110	1
367	3
524	1
411	2
18	2
505	1
146	1
252	3
406	1
372	2
418	3
460	3
161	1
360	3
285	2
97	3
56	3
211	2
199	1
222	2
87	3
390	1
266	2
537	1
301	3
26	1
76	3
174	1
193	2
333	3
508	2
320	3
481	2
236	1
113	1
93	3
52	1
171	3
229	2
11	1
201	3
500	1
323	3
295	1
80	1
531	2
546	2
183	2
465	1
306	1
94	3
235	2
449	3
499	2
339	3
8	1
325	3
119	2
228	2
244	1
254	3
264	2
17	2
319	3
536	1
170	3
401	3
90	2
208	2
219	2
311	1
305	1
1	3
258	3
489	2
108	1
501	1
70	3
103	3
133	2
178	1
405	1
256	3
214	2
514	2
443	1
482	2
431	1
68	3
421	1
109	1
340	3
151	2
31	2
293	1
81	1
378	2
487	3
240	3
268	2
274	1
393	1
220	2
279	2
423	1
247	1
297	2
510	2
155	1
511	2
189	2
544	2
6	2
308	1
451	3
126	2
280	2
163	1
296	2
430	1
509	2
538	1
65	3
350	1
182	2
59	3
21	3
233	2
322	3
494	2
352	1
364	3
223	2
304	1
101	3
414	2
40	3
526	1
439	3
382	3
477	3
51	1
92	3
10	1
361	3
37	2
128	1
464	1
271	2
83	1
145	1
250	2
426	3
440	1
120	3
345	2
32	1
545	2
389	1
249	2
351	1
191	2
204	2
30	2
327	3
366	3
299	2
149	2
36	2
134	2
230	2
0	3
492	2
496	2
436	3
471	2
9	1
115	1
205	2
237	1
467	1
381	3
159	2
248	2
415	2
506	1
307	1
112	1
166	2
294	1
98	3
391	1
63	3
152	1
261	3
359	1
73	3
225	3
438	3
462	3
365	3
328	2
395	1
265	2
99	3
450	3
300	3
326	3
398	3
114	1
28	2
55	1
127	2
180	2
432	2
267	2
169	3
176	1
458	3
491	2
392	1
377	2
179	1
513	2
466	1
24	1
188	2
403	3
441	1
475	1
136	3
503	1
397	3
283	2
504	1
207	2
444	3
286	2
100	3
122	3
376	2
522	2
3	3
479	3
427	3
362	3
202	3
420	1
35	1
33	1
469	2
429	1
47	1
424	3
19	2
346	2
290	3
525	1
337	3
287	2
483	2
209	2
412	2
329	2
262	3
185	1
181	2
227	3
356	1
130	1
452	2
95	3
147	1
196	1
75	3
82	1
532	3
332	3
242	3
502	1
7	2
476	3
341	3
387	1
251	2
373	2
417	3
284	2
245	1
448	3
539	1
141	3
379	2
53	1
399	3
195	2
331	2
473	1
363	3
454	2
144	1
57	3
42	3
172	1
313	1
263	3
380	3
66	3
461	3
385	1
58	3
541	1
386	1
137	3
105	3
315	1
512	2
276	2
547	2
190	2
20	3
44	1
143	3
15	2
78	3
388	1
433	2
77	3
165	2
89	2
521	2
234	2
107	3
2	3
303	3
369	1
85	3
260	3
74	3
396	3
23	3
321	3
5	2
447	3
13	2
221	2
353	1
148	2
91	2
336	3
318	3
349	1
334	3
60	3
71	3
497	2
50	1
123	3
132	2
281	2
425	3
168	3
416	3
302	3
445	3
486	3
238	1
347	2
542	1
394	1
206	2
520	2
131	1
463	3
535	3
289	3
516	1
43	3
410	2
455	2
213	2
192	2
14	2
288	3
96	3
162	1
310	1
257	3
106	3
272	1
157	2
153	1
342	3
277	2
314	1
84	3
273	1
69	3
435	2
312	1
495	2
419	3
540	1
138	3
330	2
335	3
154	1
197	1
241	3
232	2
39	2
67	3
111	1
224	3
218	2
135	2
116	2
239	1
61	3
459	3
231	2
480	2
79	3
409	2
27	1
488	2
343	3
173	1
175	1
507	1
62	3
198	1
428	1
529	2
203	3
453	2
150	2
348	1
543	1
215	2
355	1
457	3
422	1
282	2
164	2
434	2
344	2
384	1
156	2
317	3
121	3
291	3
413	2
324	3
493	2
446	3
246	1
470	2
278	2
210	2
255	3
212	2
41	3
54	1
