ID;NumberSales
5940;2
9466;47
7032;-5
1226;24
5940;14
5910;-6
3259;-9
7316;40
4859;12
9397;-6
7151;2
2622;0
8232;33
5474;30
8825;19
2493;-9
4445;12
1525;1
8677;37
8002;-9
5571;49
6301;34
1844;7
4204;24
8232;18
2807;46
6409;39
1525;31
7071;10
9756;-10
3845;49
3769;23
7687;17
9627;6
8572;22
3151;48
2613;12
2167;15
6239;34
5194;7
1525;9
7032;-9
7521;3
7885;46
4204;12
6409;-2
3769;16
3151;29
7151;-3
4224;16
5910;6
8380;27
7541;-8
4224;11
9349;31
8681;-5
9397;34
2701;14
5839;22
7424;33
6232;38
8002;-5
1364;47
2802;14
2613;19
1201;-6
7971;5
2609;39
3151;43
5571;48
5035;46
9735;44
3964;47
8572;-8
4613;27
9497;9
5131;42
3351;2
6385;39
7434;-2
3070;-7
5832;32
5035;15
4038;27
7885;-6
5451;32
9417;2
3845;13
4547;31
4199;3
1632;37
5007;7
1902;34
5209;-3
8412;-9
9548;30
3259;25
2493;16
9627;23
1226;10
5910;-2
6451;39
1728;35
1112;33
1942;36
9247;12
6515;10
1678;21
7151;27
1844;43
9756;25
5510;40
1938;37
7424;40
9548;26
7328;0
7382;29
9853;3
5910;5
3014;-1
9243;38
9627;-3
6539;23
2238;38
5028;-6
1678;13
9466;1
1281;31
7151;6
2036;21
3130;31
1360;21
2566;32
9163;3
4726;44
6379;2
8627;15
9627;22
7382;43
9991;14
1797;-3
2613;-7
8594;22
9889;20
2280;23
8720;29
1226;23
6379;7
7541;17
1604;-1
6209;22
3769;7
1457;32
6515;18
5910;11
9983;47
3130;-4
5474;6
5131;24
1281;19
3014;24
5940;0
3508;16
3014;15
7541;44
7151;-9
9779;14
8002;39
6163;-9
4648;30
9735;49
9168;-2
7321;35
1367;19
2199;14
9247;15
3351;47
9466;29
8367;19
6533;-1
9146;12
5940;-8
6301;21
5474;41
5839;43
2173;-4
8571;21
1367;44
5510;5
7687;27
1201;42
2609;46
4038;-5
7491;26
2622;22
4869;-2
8627;19
4445;34
9983;3
9735;37
7971;-5
9090;6
5193;18
4445;16
8380;37
4696;17
1604;25
8013;39
2067;38
1938;48
4199;-6
4696;26
3234;19
5275;24
6006;0
4613;-3
5206;0
9756;35
1112;3
6379;18
9247;8
9548;27
2807;21
4038;14
6539;35
4190;47
6163;10
4199;44
8681;3
5317;-8
2297;49
1112;18
3769;-5
5474;46
3196;12
9417;12
5474;49
5832;-5
8323;20
9983;43
3070;23
3936;30
4204;10
6533;49
2807;3
5510;46
9349;9
8594;45
2711;-5
7491;3
1844;10
6404;10
1203;-10
8412;2
9548;32
3769;10
7373;26
3196;39
7316;-3
4224;20
2622;-2
6770;18
8884;18
5839;15
2297;23
8013;33
4240;13
5910;36
9308;6
8749;40
1457;-7
9848;4
2701;34
7827;1
2609;39
9397;46
9163;5
2167;32
8953;40
4726;43
6385;0
9466;14
8884;0
9889;44
3070;49
5035;12
2802;-5
9868;14
3398;33
7491;41
8884;40
3142;8
1728;-5
3151;45
5007;26
4199;23
9983;11
9728;8
5451;8
5007;-6
2802;-10
1604;47
2067;3
2613;47
4204;24
7032;18
2167;27
6301;19
3234;-3
3936;28
9497;4
8712;1
4547;11
3936;2
3234;39
4547;14
7321;9
6539;-2
3905;-3
2711;29
6379;35
6515;13
9146;38
7885;3
3196;30
5206;8
3333;-6
6489;13
3014;6
2060;42
5007;48
1679;26
4199;13
5028;34
8232;-3
2802;31
7952;6
3142;-2
6006;34
3151;6
9497;15
1678;6
1705;23
8013;23
2266;15
7837;21
2060;14
6404;-10
2280;37
8013;32
7491;23
7328;-9
5832;-10
6239;9
6451;27
3070;22
9417;-4
2802;26
6489;36
5175;45
6533;7
5571;40
9308;10
2280;3
6483;22
1367;-7
6006;33
1678;16
3070;11
1604;-9
7059;47
5194;37
6385;0
6404;46
5839;46
2060;25
9627;13
1942;18
9163;16
7484;12
2622;18
8572;-2
5028;31
5175;13
1632;23
4648;23
5474;18
9756;6
5194;24
7328;27
8627;14
2807;-1
6770;5
5118;-1
5571;22
7032;0
2173;9
3014;7
7521;48
3905;28
4204;-2
8323;20
3014;3
7687;48
4199;47
7541;15
8627;33
6755;-3
9983;36
1367;40
9853;7
5007;49
9627;19
3375;32
7434;14
6483;28
9853;39
9983;14
7213;28
1679;7
4204;29
2266;46
9627;38
2280;5
7885;42
5035;-4
5299;2
9308;45
5510;13
9090;36
5206;-2
6409;3
7541;15
9168;31
2199;37
8232;-7
6163;18
7952;47
5317;36
6209;24
1418;22
2036;5
1902;9
7151;-9
1844;-5
1705;30
3936;7
7952;-1
2238;32
1902;41
8627;-1
8232;48
2807;27
8720;-7
4038;42
1418;-6
1252;19
3936;28
1604;-4
4445;27
7837;36
3936;-8
1203;21
6163;12
2613;13
8367;14
6163;22
4199;21
5510;49
7032;43
2622;1
7382;42
1344;44
6209;27
6770;-8
2807;34
7032;16
9868;38
2280;5
5007;-7
5209;3
7213;7
6489;31
7514;44
3142;18
7330;21
5317;15
6006;11
8586;41
7424;37
6006;-1
3151;4
5007;31
6451;47
8232;48
3905;33
3964;34
2199;39
7032;15
3398;-4
3151;6
1938;8
7373;1
4726;21
7434;-3
5299;0
8720;38
3316;30
4625;-8
9168;8
5028;20
6755;-7
7328;39
4190;34
2802;32
9163;22
1226;6
7971;13
6163;42
1632;34
4547;45
7151;27
9417;6
9868;40
6515;48
9548;25
1364;44
8232;19
9349;21
7424;3
7032;13
4224;-10
7885;20
9466;49
5451;5
7213;30
6301;13
5317;21
7952;20
1457;32
7032;24
5209;29
5474;49
8720;18
3351;31
9868;16
7382;40
1679;19
1938;-6
9247;-5
8677;-4
6006;-2
8953;40
6451;49
3316;-6
4696;19
1203;41
6379;-5
3333;7
2173;16
9728;33
2067;45
7952;-7
3316;37
5299;37
9756;7
5118;39
4038;42
4240;-8
5386;-5
5839;16
9756;35
7971;32
1902;41
7032;34
3508;49
5209;45
1226;44
5915;17
1252;15
1942;40
2622;48
2802;19
7032;21
7151;34
7484;4
7491;33
6209;21
5915;45
9168;28
1678;32
5193;14
5007;18
2280;-2
9889;42
9627;26
7151;7
3070;-8
8677;34
6006;41
1902;9
8677;22
2622;11
1252;-8
9779;27
2182;45
5007;-4
9983;21
9548;-8
3936;13
7971;3
7827;21
6301;7
5832;-1
6483;4
5007;38
1112;11
9728;2
5209;22
4190;6
9853;43
6409;31
5194;14
3196;3
9090;18
1497;25
4625;-8
7321;-10
5571;47
7321;8
2182;46
9490;49
5317;2
8594;36
8323;44
5118;3
1797;19
6084;-4
7328;-10
5940;47
5317;40
9090;-8
2297;13
4445;39
3142;5
9991;32
5175;49
6006;-6
9146;32
7827;18
4445;36
9466;5
1728;24
7316;37
3316;28
5451;30
7541;41
7827;15
5035;18
1252;-10
4038;42
4625;30
3351;37
3845;31
1281;7
8677;12
3905;9
9848;20
6239;-9
1344;8
6385;17
4648;5
1938;28
5510;11
3333;-6
2238;27
6301;-1
2036;44
1497;12
3142;29
8412;36
1112;19
9397;23
3130;41
8323;-10
6515;-2
3142;9
5839;15
1844;13
8412;28
9735;2
9497;2
9243;-9
8412;46
5275;20
2807;42
5910;-6
9163;6
1226;-4
4869;28
1457;29
1844;46
1797;9
1938;20
7213;36
5209;14
5007;13
4445;-3
9417;-1
7491;19
8953;41
9853;17
5007;17
5571;47
8712;11
1344;-4
7032;13
1797;-2
2566;15
7321;11
5510;25
8367;28
5451;-9
2067;17
1728;-1
7885;38
